text,language,emotions
"बाबू जी, हमारे टोले के साहूकार ने टर्च लाकर हमारी माँ को हाथापाई की और पुलिस थाने में जाकर गाली-गलौज कर रहा है, हम गरीब लोगन की रोजी-रोटी पर काली फासल में खून झोंका जा रहा है।",hi,"anger,fear,help_seeking"
"थानेदार साहब ने हमारी शिकायत का कागज़ तोड़ दिया और कहा कि दबंगों से खुद समझौता करो, वरना हमें भी गिरफ्तار कर देंगे, अब बेचारे को क्या करना चाहिए?",hi,"intimidation,hopelessness,panic"
"हमारी पुर्खों की पट्टा जमीन पर घुसपैठिए ने ट्रैक्टर लगाकर फसल वलाहट कर दी है और हमारे बुढ़े पिता को कुएं में डालने की धमकी दे रहे हैं, कोई जल्दी से आओ।",hi,"immediate_danger,fear,panic"
"एफआईआर दर्ज करवाते-करवाते छह महीने हो गए, अब आरोपी अपने लोगों के हवाले से हमारे खिलाफ गलत एफआईआर दर्ज करा दी है और पुलिस हमें गिरफ्तार करने चली आ रही है।",hi,"panic,fear,intimidation"
"पुरस्कार राशि तीन साल से पोर्टल पर लंबित है और वकील ने भी संपर्क बंद कर दिया है, अब इस खलिहान और खेत की मरम्मत की जिम्मदारी किस पर होगी?",hi,"others,hopelessness"
"अभी-अभी दस-पाँच दबंग हमारे गली के बाहर खड़े हैं, हथियार लेकर चिल्ला रहे हैं कि अभी दरवाज़ा नहीं खोला तो गमला छोड़ देंगे, प्लीज़ मुझे बचा लो।",hi,"fear,panic,immediate_danger"
"थानेदार जी, हमने एफआईआर दर्ज करवाई थी पर अब वही लोग हमारे खिलाफ फर्जी एफआईआर दर्ज करवा रहे हैं, पुलिस साहूकारों की सुनती है, अब मौत का साहारा कोई नहीं।",hi,"intimidation,help_seeking,anger"
"सर, कल का दिनांक परियोजना स्टेटस क्या है और फ़ाइल किस अफ़सर के पास रुकी है, कोई जल्दी नहीं है बस सूचना चाहिए।",hi,others
"हमारे कुएँ पर हाथी ले जाएँगे तो पानी नहीं मिलेगा, इसको लेकर ग्राम प्रधान ने धमकी दी है कि कोर्ट में रख देंगे, पर ज़मीन का पट्टा हमारे नाम है।",hi,"intimidation,help_seeking"
"मेरी बहन को दारू पीकर धक्का दिया, अब बहस हो रही है और यह गाली-गलौज कर रहा है, पूरा घर शोर से गिर रहा है।",hi,"fear,panic,immediate_danger"
